I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
628,2758,25,17,S,F,7,0,2,8,4,2,23,0,17,16,3,36,0,7,3,0,10,7,27,10,10,9,8,5,2,44
629,3419,25,17,S,M,7,4,4,3,5,4,27,1,19,13,0,33,0,8,6,0,10,0,24,12,8,10,4,10,10,54
630,3851,28,17,S,M,6,2,1,3,6,4,22,0,18,22,9,49,0,1,3,0,10,4,18,0,8,3,6,5,10,32
631,4375,40,20,S,M,8,4,4,8,8,7,39,10,20,30,9,69,0,5,0,0,0,0,5,12,12,10,6,11,10,61
632,4907,25,19,S,M,8,4,4,8,6,8,38,1,19,26,9,55,5,5,10,0,10,10,40,8,0,7,6,14,7,42
633,5614,25,20,S,M,8,4,4,8,6,8,38,10,20,31,9,70,?,?,?,?,?,?,0,12,11,10,12,14,10,69
634,6908,20,19,S,F,6,2,2,6,4.5,7,27.5,0,19,14,0,33,?,?,?,?,?,?,0,0,0,4,0,2,7,13
635,8174,24,19,S,F,8,2,0,8,6,6,30,1,19,32,9,61,7,0,7,0,10,8,32,10,12,10,7,10,10,59
636,8909,45,20,S,M,8,3,0,7,4,4,26,0,4,12,0,16,0,3,0,0,0,4,7,0,11,4,4,5,7,31
637,9995,21,19,S,M,4,4,3,3,4,2,20,1,20,15,6,42,0,0,0,0,0,4,4,8,0,5,4,8,10,35
