I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
151,5199,22,3,B,M,0,0,0,0,1,0,1,0,15,24,1,40,0,0,3,1,0,3,7,4,12,0,3,1,10,30
152,5947,28,4,B,M,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,7,10,17,0,0,7,3,1,7,18
153,6665,27,2,B,M,6,0,0,3,1,3,13,1,20,16,0,37,10,8,4,0,9,9,40,12,0,10,4,5,10,41
154,7083,25,3,B,M,4,1,0,8,6,6,25,1,16,15,9,41,7,7,1,0,10,8,33,12,6,7,4,10,0,39
155,7818,26,4,B,M,0,2,4,0,1,0,7,0,7,10,0,17,0,0,3,0,9,0,12,4,0,6,2,0,0,12
156,8536,28,3,B,M,2,1,0,8,6,4,21,1,19,13,1,34,0,0,0,2,7,10,19,0,2,7,12,2,7,30
157,9554,26,4,B,M,?,?,?,?,?,?,0,0,19,22,10,51,0,0,4,0,10,5,19,12,0,0,9,14,10,45
158,163,28,1,B,M,6,3,0,3,6,3,21,0,19,15,9,43,0,4,3,0,10,6,23,12,6,10,4,3,7,42
159,51,45,2,B,M,6,4,4,8,6,5,33,1,14,25,9,49,0,2,6,0,10,10,28,4,0,0,2,13,7,26
160,1067,21,4,B,M,5,2,0,8,0,6,21,1,20,23,9,53,0,5,10,0,10,10,35,0,0,10,10,14,7,41
161,1572,20,2,B,M,8,2,4,8,6,8,36,0,20,32,1,53,10,6,8,10,10,4,48,12,0,9,9,13,10,53
162,2917,21,4,B,F,3,3,0,8,6,7,27,0,20,30,1,51,?,?,?,?,?,?,0,4,0,10,1,7,7,29
163,3516,27,4,B,M,8,1,4,0,2,6,21,3,9,18,9,39,?,?,?,?,?,?,0,0,14,9,11,10,3,47
164,4618,45,3,B,M,6,3,0,8,7,1,25,7,20,2,9,38,0,5,4,0,8,0,17,12,0,8,8,1,10,39
165,5263,27,1,B,M,6,2,0,4,4,3,19,0,12,27,0,39,0,0,4,0,10,5,19,6,0,0,2,5,8,21
166,5958,45,5,B,M,1,0,0,6,0,0,7,2,18,13,1,34,0,1,0,0,6,2,9,6,0,3,0,5,3,17
167,6727,20,2,B,M,5,4,4,0,0,4,17,0,19,14,6,39,9,6,0,0,10,10,35,12,0,0,3,9,10,34
168,7101,21,5,B,M,6,4,4,8,0,3,25,0,8,22,4,34,0,0,3,0,10,0,13,0,0,8,2,5,5,20
169,7864,28,1,B,M,8,4,4,8,8,8,40,10,20,32,9,71,?,?,?,?,?,?,0,5,8,7,9,14,10,53
170,8569,45,5,B,M,?,?,?,?,?,?,0,1,15,10,1,27,0,1,1,0,0,10,12,0,0,0,0,0,3,3
171,9565,25,5,B,M,8,4,4,8,8,7,39,10,20,32,9,71,10,9,1,8,10,10,48,1,12,10,0,13,10,46
